,Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate,Year,Month
6253,4209,2,Detached House,1/03/2020,1/03/2020,1/04/2020,Community Housing,GOLD COAST HSC,0,10,10,Gold Coast,Coomera,2020,2020-04
6254,4209,2,Apartment,1/10/2019,1/10/2019,1/11/2019,Community Housing,GOLD COAST HSC,0,58,58,Gold Coast,Coomera,2019,2019-11
6255,4737,2,Apartment,1/10/2019,1/10/2019,1/11/2019,Community Housing,MACKAY HSC,0,21,21,Mackay,Mirani,2019,2019-11
6256,4105,1,Attached Housing,1/02/2020,1/02/2020,1/02/2020,Public Housing,BURANDA HSC,8,3,11,Brisbane,Miller,2020,2020-02
6257,4105,1,Detached House,1/02/2020,1/02/2020,1/03/2020,Public Housing,BURANDA HSC,9,20,29,Brisbane,Miller,2020,2020-03
6258,4020,2,Apartment,1/11/2019,1/11/2019,1/12/2019,Public Housing,MORETON BAY HSC,18,21,39,Moreton Bay,Redcliffe,2019,2019-12
6259,4006,1,Attached Housing,1/04/2020,1/04/2020,1/04/2020,Community Housing,FORTITUDE VALLEY HSC,14,0,14,Brisbane,McConnel,2020,2020-04
6261,4006,1,Apartment,1/11/2019,1/11/2019,1/11/2019,Community Housing,FORTITUDE VALLEY HSC,16,0,16,Brisbane,McConnel,2019,2019-11
6262,4006,1,Detached House,1/11/2019,1/11/2019,1/11/2019,Community Housing,FORTITUDE VALLEY HSC,9,0,9,Brisbane,McConnel,2019,2019-11
6263,4006,1,Detached House,1/07/2019,1/07/2019,1/07/2019,Community Housing,FORTITUDE VALLEY HSC,0,10,10,Brisbane,McConnel,2019,2019-07
6265,4006,1,Apartment,1/12/2019,1/12/2019,1/12/2019,Community Housing,FORTITUDE VALLEY HSC,16,0,16,Brisbane,McConnel,2019,2019-12
6266,4132,4,Detached House,1/03/2020,1/04/2020,1/04/2020,Community Housing,LOGAN HSC,29,0,29,Logan,Woodridge,2020,2020-04
6267,4870,2,Attached Housing,1/10/2019,1/11/2019,1/12/2019,Public Housing,CAIRNS HSC,11,25,36,Cairns,Barron River,2019,2019-12
6268,4510,3,Detached House,1/06/2019,1/07/2019,1/07/2019,Community Housing,MORETON BAY HSC,20,0,20,Moreton Bay,Morayfield,2019,2019-07
6269,4350,3,Apartment,1/01/2020,1/01/2020,1/01/2020,Community Housing,TOOWOOMBA AND SOUTH WEST HSC,0,13,13,Toowoomba,Toowoomba South,2020,2020-01
6270,4211,1,Detached House,1/04/2020,1/04/2020,1/04/2020,Community Housing,GOLD COAST HSC,0,11,11,Gold Coast,Theodore,2020,2020-04
6272,4211,1,Apartment,1/08/2018,1/09/2018,1/07/2019,Community Housing,GOLD COAST HSC,28,321,349,Gold Coast,Theodore,2019,2019-07
6273,4304,2,Apartment,1/11/2019,1/12/2019,1/12/2019,Community Housing,IPSWICH HSC,26,0,26,Ipswich,Ipswich,2019,2019-12
6274,4304,1,Detached House,1/04/2020,1/04/2020,1/06/2020,Community Housing,IPSWICH HSC,6,50,56,Ipswich,Ipswich,2020,2020-06
6275,4304,1,Apartment,1/01/2020,1/02/2020,1/02/2020,Community Housing,IPSWICH HSC,16,1,17,Ipswich,Ipswich,2020,2020-02
6276,4304,1,Duplex,1/09/2019,1/09/2019,1/11/2019,Community Housing,IPSWICH HSC,0,42,42,Ipswich,Ipswich,2019,2019-11
6277,4304,2,Detached House,1/04/2020,1/05/2020,1/05/2020,Community Housing,IPSWICH HSC,3,7,10,Ipswich,Ipswich,2020,2020-05
6278,4304,1,Detached House,1/07/2019,1/07/2019,1/09/2019,Community Housing,IPSWICH HSC,8,68,76,Ipswich,Ipswich,2019,2019-09
6279,4304,3,Detached House,1/09/2019,1/09/2019,1/11/2019,Community Housing,IPSWICH HSC,0,32,32,Ipswich,Ipswich,2019,2019-11
6280,4753,2,Detached House,1/02/2020,1/02/2020,1/03/2020,Community Housing,MACKAY HSC,12,16,28,Mackay,Mirani,2020,2020-03
6281,4753,2,Detached House,1/08/2019,1/08/2019,1/09/2019,Community Housing,MACKAY HSC,0,20,20,Mackay,Mirani,2019,2019-09
6282,4570,2,Attached Housing,1/07/2019,1/07/2019,1/09/2019,Community Housing,MAROOCHYDORE HSC,0,65,65,Gympie,Gympie,2019,2019-09
6283,4215,1,Detached House,1/08/2019,1/08/2019,1/08/2019,Community Housing,GOLD COAST HSC,0,1,1,Gold Coast,Bonney,2019,2019-08
6285,4820,1,Apartment,1/09/2019,1/09/2019,1/09/2019,Community Housing,TOWNSVILLE HSC,0,7,7,Charters Towers,Traeger,2019,2019-09
6286,4820,1,Detached House,1/02/2020,1/02/2020,1/02/2020,Community Housing,TOWNSVILLE HSC,0,10,10,Charters Towers,Traeger,2020,2020-02
6287,4209,2,Duplex,1/09/2019,1/09/2019,1/10/2019,Community Housing,GOLD COAST HSC,0,7,7,Gold Coast,Coomera,2019,2019-10
6289,4018,2,Apartment,1/09/2019,1/09/2019,1/09/2019,Community Housing,CHERMSIDE HSC,1,0,1,Brisbane,Sandgate,2019,2019-09
6290,4870,1,Senior Unit,1/10/2019,1/10/2019,1/10/2019,Community Housing,CAIRNS HSC,9,0,9,Cairns,Cairns,2019,2019-10
6291,4870,1,Apartment,1/10/2019,1/10/2019,1/11/2019,Community Housing,CAIRNS HSC,0,14,14,Cairns,Cairns,2019,2019-11
6292,4870,1,Senior Unit,1/11/2019,1/11/2019,1/11/2019,Community Housing,CAIRNS HSC,2,6,8,Cairns,Cairns,2019,2019-11
6293,4870,1,Senior Unit,1/01/2020,1/01/2020,1/02/2020,Community Housing,CAIRNS HSC,0,34,34,Cairns,Cairns,2020,2020-02
6294,4870,1,Apartment,1/03/2020,1/03/2020,1/03/2020,Community Housing,CAIRNS HSC,0,11,11,Cairns,Cairns,2020,2020-03
6295,4870,1,Senior Unit,1/07/2019,1/07/2019,1/08/2019,Community Housing,CAIRNS HSC,0,51,51,Cairns,Cairns,2019,2019-08
6296,4870,1,Senior Unit,1/10/2019,1/10/2019,1/10/2019,Community Housing,CAIRNS HSC,0,9,9,Cairns,Cairns,2019,2019-10
6299,4870,1,Senior Unit,1/01/2020,1/01/2020,1/02/2020,Community Housing,CAIRNS HSC,0,7,7,Cairns,Cairns,2020,2020-02
6301,4870,1,Duplex,1/11/2019,1/11/2019,1/11/2019,Community Housing,CAIRNS HSC,8,5,13,Cairns,Cairns,2019,2019-11
6302,4870,1,Apartment,1/03/2020,1/03/2020,1/03/2020,Community Housing,CAIRNS HSC,0,1,1,Cairns,Cairns,2020,2020-03
6303,4870,1,Senior Unit,1/11/2019,1/11/2019,1/11/2019,Community Housing,CAIRNS HSC,5,1,6,Cairns,Cairns,2019,2019-11
6304,4870,1,Apartment,1/07/2019,1/07/2019,1/07/2019,Community Housing,CAIRNS HSC,0,8,8,Cairns,Cairns,2019,2019-07
6305,4870,1,Detached House,1/03/2020,1/03/2020,1/03/2020,Community Housing,CAIRNS HSC,0,7,7,Cairns,Cairns,2020,2020-03
6306,4870,1,Apartment,1/01/2020,1/01/2020,1/02/2020,Community Housing,CAIRNS HSC,0,20,20,Cairns,Cairns,2020,2020-02
6308,4870,1,Apartment,1/11/2019,1/11/2019,1/11/2019,Community Housing,CAIRNS HSC,0,6,6,Cairns,Cairns,2019,2019-11
6309,4020,1,Apartment,1/05/2020,1/05/2020,1/05/2020,Public Housing,MORETON BAY HSC,12,6,18,Moreton Bay,Redcliffe,2020,2020-05
6310,4020,1,Apartment,1/01/2020,1/01/2020,1/02/2020,Public Housing,MORETON BAY HSC,22,17,39,Moreton Bay,Redcliffe,2020,2020-02
6311,4020,2,Detached House,1/03/2020,1/03/2020,1/03/2020,Public Housing,MORETON BAY HSC,12,1,13,Moreton Bay,Redcliffe,2020,2020-03
6312,4868,5,Apartment,1/02/2020,1/02/2020,1/02/2020,Community Housing,CAIRNS HSC,0,11,11,Cairns,Mulgrave,2020,2020-02
6313,4215,1,Detached House,1/11/2019,1/04/2020,1/05/2020,Public Housing,GOLD COAST HSC,166,26,192,Gold Coast,Southport,2020,2020-05
6314,4215,1,Apartment,1/09/2019,1/10/2019,1/10/2019,Public Housing,GOLD COAST HSC,40,1,41,Gold Coast,Southport,2019,2019-10
6315,4215,1,Detached House,1/04/2020,1/06/2020,1/06/2020,Public Housing,GOLD COAST HSC,57,0,57,Gold Coast,Southport,2020,2020-06
6317,4013,3,Apartment,1/11/2019,1/12/2019,1/02/2020,Community Housing,CHERMSIDE HSC,27,78,105,Brisbane,Nudgee,2020,2020-02
6318,4740,2,Apartment,1/05/2020,1/05/2020,1/05/2020,Community Housing,MACKAY HSC,4,4,8,Mackay,Mackay,2020,2020-05
6319,4740,2,Apartment,1/06/2020,1/06/2020,1/06/2020,Community Housing,MACKAY HSC,0,10,10,Mackay,Mackay,2020,2020-06
6320,4551,3,Apartment,1/07/2019,1/07/2019,1/08/2019,Community Housing,MAROOCHYDORE HSC,7,34,41,Sunshine Coast,Caloundra,2019,2019-08
6321,4510,3,Apartment,1/11/2019,1/11/2019,1/02/2020,Community Housing,MORETON BAY HSC,0,104,104,Moreton Bay,Morayfield,2020,2020-02
6322,4510,4,Apartment,1/09/2019,1/10/2019,1/10/2019,Community Housing,MORETON BAY HSC,22,0,22,Moreton Bay,Pumicestone,2019,2019-10
6323,4163,2,Apartment,1/04/2020,1/05/2020,1/05/2020,Community Housing,BAYSIDE HSC,48,0,48,Redland,Oodgeroo,2020,2020-05
6325,4163,2,Apartment,1/10/2018,1/09/2019,1/09/2019,Community Housing,BAYSIDE HSC,343,15,358,Redland,Oodgeroo,2019,2019-09
6327,4163,3,Detached House,1/04/2020,1/04/2020,1/06/2020,Community Housing,BAYSIDE HSC,27,35,62,Redland,Oodgeroo,2020,2020-06
6328,4510,3,Apartment,1/08/2019,1/09/2019,1/09/2019,Community Housing,MORETON BAY HSC,13,0,13,Moreton Bay,Morayfield,2019,2019-09
6329,4854,1,Apartment,1/07/2019,1/07/2019,1/09/2019,Community Housing,CAIRNS HSC,0,47,47,Cassowary Coast,Hill,2019,2019-09
6330,4854,1,Apartment,1/12/2019,1/12/2019,1/03/2020,Community Housing,CAIRNS HSC,0,90,90,Cassowary Coast,Hill,2020,2020-03
6331,4854,1,Apartment,1/09/2019,1/09/2019,1/11/2019,Community Housing,CAIRNS HSC,0,63,63,Cassowary Coast,Hill,2019,2019-11
6332,4169,1,Apartment,1/11/2019,1/11/2019,1/11/2019,Community Housing,FORTITUDE VALLEY HSC,0,6,6,Brisbane,South Brisbane,2019,2019-11
6333,4169,1,Apartment,1/05/2020,1/05/2020,1/05/2020,Community Housing,FORTITUDE VALLEY HSC,8,0,8,Brisbane,South Brisbane,2020,2020-05
6334,4169,1,Apartment,1/06/2019,1/06/2019,1/01/2020,Community Housing,FORTITUDE VALLEY HSC,0,210,210,Brisbane,South Brisbane,2020,2020-01
6335,4169,1,Apartment,1/11/2019,1/11/2019,1/11/2019,Community Housing,FORTITUDE VALLEY HSC,16,0,16,Brisbane,South Brisbane,2019,2019-11
6336,4880,1,Apartment,1/05/2020,1/05/2020,1/05/2020,Community Housing,CAIRNS HSC,0,9,9,Mareeba,Cook,2020,2020-05
6337,4006,1,Apartment,1/12/2019,1/12/2019,1/12/2019,Community Housing,FORTITUDE VALLEY HSC,16,0,16,Brisbane,McConnel,2019,2019-12
6338,4006,1,Apartment,1/11/2019,1/11/2019,1/11/2019,Community Housing,FORTITUDE VALLEY HSC,19,0,19,Brisbane,McConnel,2019,2019-11
6340,4006,1,Apartment,1/05/2018,1/09/2018,1/03/2020,Community Housing,FORTITUDE VALLEY HSC,131,542,673,Brisbane,McConnel,2020,2020-03
6342,4006,1,Apartment,1/03/2020,1/03/2020,1/03/2020,Community Housing,FORTITUDE VALLEY HSC,6,0,6,Brisbane,McConnel,2020,2020-03
6347,4006,1,Apartment,1/07/2019,1/07/2019,1/07/2019,Community Housing,FORTITUDE VALLEY HSC,0,10,10,Brisbane,McConnel,2019,2019-07
6350,4006,1,Apartment,1/06/2020,1/06/2020,1/06/2020,Community Housing,FORTITUDE VALLEY HSC,10,0,10,Brisbane,McConnel,2020,2020-06
6353,4885,1,Apartment,1/03/2020,1/03/2020,1/04/2020,Community Housing,CAIRNS HSC,0,20,20,Tablelands,Hill,2020,2020-04
6354,4885,1,Apartment,1/03/2019,1/03/2019,1/01/2020,Community Housing,CAIRNS HSC,0,314,314,Tablelands,Hill,2020,2020-01
6355,4700,1,Senior Unit,1/03/2020,1/03/2020,1/05/2020,Community Housing,ROCKHAMPTON HSC,0,38,38,Rockhampton,Rockhampton,2020,2020-05
6356,4700,2,Apartment,1/06/2019,1/08/2019,1/09/2019,Community Housing,ROCKHAMPTON HSC,52,37,89,Rockhampton,Rockhampton,2019,2019-09
6357,4700,1,Apartment,1/06/2019,1/08/2019,1/08/2019,Community Housing,ROCKHAMPTON HSC,51,1,52,Rockhampton,Rockhampton,2019,2019-08
6358,4700,1,Apartment,1/01/2020,1/03/2020,1/05/2020,Community Housing,ROCKHAMPTON HSC,48,57,105,Rockhampton,Rockhampton,2020,2020-05
6359,4700,1,Apartment,1/10/2019,1/10/2019,1/12/2019,Community Housing,ROCKHAMPTON HSC,0,49,49,Rockhampton,Rockhampton,2019,2019-12
6360,4700,2,Apartment,1/06/2019,1/07/2019,1/08/2019,Community Housing,ROCKHAMPTON HSC,39,35,74,Rockhampton,Rockhampton,2019,2019-08
6361,4700,2,Apartment,1/03/2020,1/03/2020,1/05/2020,Community Housing,ROCKHAMPTON HSC,0,53,53,Rockhampton,Rockhampton,2020,2020-05
6362,4700,1,Apartment,1/03/2020,1/04/2020,1/05/2020,Community Housing,ROCKHAMPTON HSC,33,2,35,Rockhampton,Rockhampton,2020,2020-05
6363,4700,2,Apartment,1/06/2019,1/08/2019,1/08/2019,Community Housing,ROCKHAMPTON HSC,47,1,48,Rockhampton,Rockhampton,2019,2019-08
6364,4700,2,Apartment,1/11/2019,1/11/2019,1/01/2020,Community Housing,ROCKHAMPTON HSC,0,51,51,Rockhampton,Rockhampton,2020,2020-01
6365,4810,1,Apartment,1/07/2019,1/07/2019,1/09/2019,Community Housing,TOWNSVILLE HSC,1,42,43,Townsville,Townsville,2019,2019-09
6366,4810,2,Apartment,1/01/2020,1/01/2020,1/02/2020,Community Housing,TOWNSVILLE HSC,0,6,6,Townsville,Townsville,2020,2020-02
6367,4810,1,Apartment,1/11/2019,1/11/2019,1/02/2020,Community Housing,TOWNSVILLE HSC,0,91,91,Townsville,Townsville,2020,2020-02
6368,4829,2,Apartment,1/08/2019,1/09/2019,1/10/2019,Aboriginal and Torres Strait Islander Housing,MOUNT ISA HSC,33,37,70,Boulia,Gregory,2019,2019-10
6369,4829,2,Duplex,1/04/2018,1/07/2018,1/09/2019,Aboriginal and Torres Strait Islander Housing,MOUNT ISA HSC,77,442,519,Boulia,Gregory,2019,2019-09
6370,4829,5,Apartment,1/01/2018,1/07/2018,1/08/2019,Aboriginal and Torres Strait Islander Housing,MOUNT ISA HSC,166,393,559,Boulia,Gregory,2019,2019-08
6371,4829,4,Apartment,1/07/2017,1/11/2017,1/01/2020,Aboriginal and Torres Strait Islander Housing,MOUNT ISA HSC,125,781,906,Boulia,Gregory,2020,2020-01
6372,4163,2,Apartment,1/06/2019,1/08/2019,1/09/2019,Community Housing,BAYSIDE HSC,51,40,91,Redland,Oodgeroo,2019,2019-09
6373,4163,2,Apartment,1/10/2019,1/10/2019,1/11/2019,Community Housing,BAYSIDE HSC,0,21,21,Redland,Oodgeroo,2019,2019-11
6374,4163,2,Apartment,1/04/2020,1/04/2020,1/06/2020,Community Housing,BAYSIDE HSC,29,47,76,Redland,Oodgeroo,2020,2020-06
6375,4163,2,Apartment,1/05/2020,1/05/2020,1/05/2020,Community Housing,BAYSIDE HSC,0,1,1,Redland,Oodgeroo,2020,2020-05
6376,4163,2,Apartment,1/10/2019,1/11/2019,1/11/2019,Community Housing,BAYSIDE HSC,12,0,12,Redland,Oodgeroo,2019,2019-11
6377,4163,1,Apartment,1/09/2019,1/09/2019,1/10/2019,Community Housing,BAYSIDE HSC,0,8,8,Redland,Oodgeroo,2019,2019-10
6378,4163,1,Apartment,1/09/2019,1/09/2019,1/10/2019,Community Housing,BAYSIDE HSC,0,12,12,Redland,Oodgeroo,2019,2019-10
6380,4053,1,Attached Housing,1/04/2020,1/04/2020,1/05/2020,Community Housing,FORTITUDE VALLEY HSC,12,19,31,Brisbane,Ferny Grove,2020,2020-05
6381,4053,1,Detached House,1/06/2019,1/06/2019,1/07/2019,Community Housing,FORTITUDE VALLEY HSC,3,25,28,Brisbane,Ferny Grove,2019,2019-07
6382,4053,1,Apartment,1/03/2020,1/03/2020,1/04/2020,Community Housing,FORTITUDE VALLEY HSC,0,47,47,Brisbane,Ferny Grove,2020,2020-04
6383,4301,4,Detached House,1/04/2020,1/05/2020,1/06/2020,Community Housing,IPSWICH HSC,20,14,34,Ipswich,Bundamba,2020,2020-06
6384,4161,1,Detached House,1/08/2019,1/08/2019,1/09/2019,Community Housing,BAYSIDE HSC,0,20,20,Redland,Capalaba,2019,2019-09
6385,4161,1,Detached House,1/09/2019,1/09/2019,1/09/2019,Community Housing,BAYSIDE HSC,0,16,16,Redland,Capalaba,2019,2019-09
6386,4161,1,Detached House,1/05/2019,1/08/2019,1/08/2019,Community Housing,BAYSIDE HSC,113,0,113,Redland,Capalaba,2019,2019-08
6387,4161,1,Detached House,1/08/2019,1/08/2019,1/08/2019,Community Housing,BAYSIDE HSC,0,9,9,Redland,Capalaba,2019,2019-08
6388,4507,1,Apartment,1/11/2019,1/12/2019,1/12/2019,Community Housing,MORETON BAY HSC,13,0,13,Moreton Bay,Pumicestone,2019,2019-12
6389,4507,2,Duplex,1/08/2019,1/09/2019,1/09/2019,Community Housing,MORETON BAY HSC,21,0,21,Moreton Bay,Pumicestone,2019,2019-09
6390,4507,1,Apartment,1/04/2020,1/05/2020,1/05/2020,Community Housing,MORETON BAY HSC,13,14,27,Moreton Bay,Pumicestone,2020,2020-05
6391,4507,1,Apartment,1/06/2020,1/06/2020,1/06/2020,Community Housing,MORETON BAY HSC,0,11,11,Moreton Bay,Pumicestone,2020,2020-06
6392,4305,3,Apartment,1/07/2019,1/07/2019,1/07/2019,Community Housing,IPSWICH HSC,8,7,15,Ipswich,Ipswich,2019,2019-07
6393,4032,1,Apartment,1/02/2020,1/02/2020,1/02/2020,Community Housing,CHERMSIDE HSC,1,0,1,Brisbane,Stafford,2020,2020-02
6394,4560,1,Apartment,1/07/2019,1/07/2019,1/07/2019,Community Housing,MAROOCHYDORE HSC,0,16,16,Sunshine Coast,Nicklin,2019,2019-07
6395,4560,1,Apartment,1/03/2020,1/03/2020,1/05/2020,Community Housing,MAROOCHYDORE HSC,0,69,69,Sunshine Coast,Nicklin,2020,2020-05
6396,4560,2,Apartment,1/07/2019,1/07/2019,1/08/2019,Community Housing,MAROOCHYDORE HSC,0,18,18,Sunshine Coast,Nicklin,2019,2019-08
6397,4560,1,Cluster Housing,1/06/2019,1/06/2019,1/07/2019,Community Housing,MAROOCHYDORE HSC,4,26,30,Sunshine Coast,Nicklin,2019,2019-07
6398,4560,2,Attached Housing,1/06/2019,1/06/2019,1/07/2019,Community Housing,MAROOCHYDORE HSC,2,13,15,Sunshine Coast,Nicklin,2019,2019-07
6399,4211,1,Detached House,1/09/2019,1/09/2019,1/09/2019,Community Housing,GOLD COAST HSC,0,5,5,Gold Coast,Gaven,2019,2019-09
6400,4211,1,Detached House,1/10/2019,1/10/2019,1/10/2019,Community Housing,GOLD COAST HSC,0,27,27,Gold Coast,Gaven,2019,2019-10
6401,4895,3,Apartment,1/02/2020,1/02/2020,1/04/2020,Community Housing,CAIRNS HSC,0,65,65,Cook,Cook,2020,2020-04
6402,4881,3,Apartment,1/05/2019,1/11/2019,1/11/2019,Community Housing,CAIRNS HSC,184,7,191,Mareeba,Barron River,2019,2019-11
6403,4030,1,Apartment,1/12/2019,1/12/2019,1/12/2019,Community Housing,FORTITUDE VALLEY HSC,16,0,16,Brisbane,Clayfield,2019,2019-12
6407,4030,1,Detached House,1/05/2020,1/05/2020,1/05/2020,Community Housing,FORTITUDE VALLEY HSC,7,0,7,Brisbane,Clayfield,2020,2020-05
6408,4030,1,Detached House,1/07/2019,1/07/2019,1/08/2019,Community Housing,FORTITUDE VALLEY HSC,0,2,2,Brisbane,Clayfield,2019,2019-08
6410,4108,1,Detached House,1/02/2020,1/02/2020,1/02/2020,Community Housing,BURANDA HSC,3,0,3,Brisbane,Toohey,2020,2020-02
6411,4108,3,Detached House,1/02/2020,1/02/2020,1/02/2020,Community Housing,BURANDA HSC,3,0,3,Brisbane,Toohey,2020,2020-02
6412,4108,1,Apartment,1/07/2019,1/07/2019,1/07/2019,Community Housing,BURANDA HSC,1,0,1,Brisbane,Toohey,2019,2019-07
6413,4881,3,Detached House,1/08/2019,1/08/2019,1/08/2019,Community Housing,CAIRNS HSC,0,3,3,Mareeba,Barron River,2019,2019-08
6414,4740,3,Duplex,1/06/2019,1/07/2019,1/07/2019,Community Housing,MACKAY HSC,31,0,31,Mackay,Mackay,2019,2019-07
6415,4740,3,Apartment,1/10/2019,1/10/2019,1/10/2019,Community Housing,MACKAY HSC,6,4,10,Mackay,Mackay,2019,2019-10
6416,4211,1,Apartment,1/02/2020,1/02/2020,1/03/2020,Community Housing,GOLD COAST HSC,0,10,10,Gold Coast,Gaven,2020,2020-03
6417,4211,2,Apartment,1/10/2019,1/01/2020,1/02/2020,Community Housing,GOLD COAST HSC,69,27,96,Gold Coast,Gaven,2020,2020-02
6418,4211,1,Apartment,1/03/2020,1/03/2020,1/03/2020,Community Housing,GOLD COAST HSC,0,1,1,Gold Coast,Gaven,2020,2020-03
6419,4881,2,Detached House,1/03/2020,1/04/2020,1/05/2020,Aboriginal and Torres Strait Islander Housing,CAIRNS HSC,12,36,48,Mareeba,Barron River,2020,2020-05
6420,4053,3,Apartment,1/11/2019,1/12/2019,1/01/2020,Community Housing,CHERMSIDE HSC,31,20,51,Brisbane,Everton,2020,2020-01
6421,4215,2,Apartment,1/02/2020,1/03/2020,1/03/2020,Community Housing,GOLD COAST HSC,30,0,30,Gold Coast,Southport,2020,2020-03
6422,4103,1,Apartment,1/07/2019,1/07/2019,1/07/2019,Community Housing,BURANDA HSC,3,10,13,Brisbane,Miller,2019,2019-07
6423,4161,3,Apartment,1/05/2019,1/07/2019,1/07/2019,Community Housing,BAYSIDE HSC,50,0,50,Redland,Capalaba,2019,2019-07
6425,4860,3,Detached House,1/07/2019,1/07/2019,1/07/2019,Community Housing,CAIRNS HSC,0,18,18,Cassowary Coast,Hill,2019,2019-07
6426,4159,3,Detached House,1/05/2019,1/07/2019,1/07/2019,Community Housing,BAYSIDE HSC,46,0,46,Redland,Capalaba,2019,2019-07
6427,4161,3,Attached Housing,1/11/2019,1/11/2019,1/11/2019,Community Housing,BAYSIDE HSC,0,12,12,Redland,Capalaba,2019,2019-11
6428,4157,3,Cluster Housing,1/07/2019,1/08/2019,1/08/2019,Community Housing,BAYSIDE HSC,21,8,29,Redland,Capalaba,2019,2019-08
6429,4178,3,Cluster Housing,1/06/2019,1/07/2019,1/07/2019,Community Housing,BAYSIDE HSC,27,0,27,Brisbane,Lytton,2019,2019-07
6430,4157,2,Detached House,1/04/2020,1/05/2020,1/05/2020,Community Housing,BAYSIDE HSC,14,0,14,Redland,Capalaba,2020,2020-05
6433,4869,3,Duplex,1/03/2020,1/03/2020,1/04/2020,Community Housing,CAIRNS HSC,0,11,11,Cairns,Mulgrave,2020,2020-04
6434,4868,3,Duplex,1/10/2019,1/10/2019,1/11/2019,Community Housing,CAIRNS HSC,11,11,22,Cairns,Mulgrave,2019,2019-11
6435,4506,4,Apartment,1/03/2020,1/04/2020,1/04/2020,Public Housing,MORETON BAY HSC,20,0,20,Moreton Bay,Morayfield,2020,2020-04
6436,4055,4,Detached House,1/01/2013,1/12/2019,1/12/2019,Public Housing,MORETON BAY HSC,2507,5,2512,Moreton Bay,Ferny Grove,2019,2019-12
6437,4880,2,Attached Housing,1/07/2019,1/07/2019,1/07/2019,Community Housing,CAIRNS HSC,0,13,13,Mareeba,Cook,2019,2019-07
6438,4880,2,Apartment,1/05/2020,1/05/2020,1/05/2020,Community Housing,CAIRNS HSC,0,7,7,Mareeba,Cook,2020,2020-05
6439,4211,5,Attached Housing,1/02/2020,1/03/2020,1/03/2020,Public Housing,GOLD COAST HSC,16,9,25,Gold Coast,Gaven,2020,2020-03
6440,4570,3,Attached Housing,1/06/2019,1/06/2019,1/07/2019,Community Housing,MAROOCHYDORE HSC,4,10,14,Gympie,Gympie,2019,2019-07
6441,4305,4,Attached Housing,1/04/2020,1/04/2020,1/05/2020,Community Housing,IPSWICH HSC,1,29,30,Ipswich,Ipswich,2020,2020-05
6442,4670,2,Detached House,1/09/2019,1/10/2019,1/10/2019,Community Housing,BUNDABERG HSC,8,0,8,Bundaberg,Bundaberg,2019,2019-10
6444,4350,1,Duplex,1/06/2019,1/08/2019,1/08/2019,Public Housing,TOOWOOMBA AND SOUTH WEST HSC,58,4,62,Toowoomba,Toowoomba North,2019,2019-08
6445,4350,1,Detached House,1/07/2019,1/07/2019,1/08/2019,Public Housing,TOOWOOMBA AND SOUTH WEST HSC,5,21,26,Toowoomba,Toowoomba North,2019,2019-08
6446,4860,3,Detached House,1/03/2020,1/03/2020,1/03/2020,Community Housing,CAIRNS HSC,0,7,7,Cassowary Coast,Hill,2020,2020-03
6447,4556,4,Detached House,1/09/2019,1/09/2019,1/09/2019,Public Housing,MAROOCHYDORE HSC,6,7,13,Sunshine Coast,Buderim,2019,2019-09
6448,4810,1,Apartment,1/08/2019,1/08/2019,1/09/2019,Community Housing,TOWNSVILLE HSC,0,16,16,Townsville,Townsville,2019,2019-09
6450,4670,2,Apartment,1/07/2019,1/07/2019,1/07/2019,Public Housing,BUNDABERG HSC,5,7,12,Bundaberg,Bundaberg,2019,2019-07
6451,4810,2,Apartment,1/08/2019,1/08/2019,1/08/2019,Community Housing,TOWNSVILLE HSC,3,3,6,Townsville,Townsville,2019,2019-08
6452,4810,2,Duplex,1/04/2020,1/04/2020,1/05/2020,Community Housing,TOWNSVILLE HSC,0,15,15,Townsville,Townsville,2020,2020-05
6453,4018,1,Duplex,1/02/2020,1/02/2020,1/03/2020,Public Housing,CHERMSIDE HSC,8,27,35,Brisbane,Sandgate,2020,2020-03
6454,4018,1,Apartment,1/11/2019,1/11/2019,1/12/2019,Public Housing,CHERMSIDE HSC,7,21,28,Brisbane,Sandgate,2019,2019-12
6455,4018,1,Attached Housing,1/06/2019,1/08/2019,1/08/2019,Public Housing,CHERMSIDE HSC,83,0,83,Brisbane,Sandgate,2019,2019-08
6456,4018,1,Detached House,1/03/2020,1/03/2020,1/04/2020,Public Housing,CHERMSIDE HSC,14,23,37,Brisbane,Sandgate,2020,2020-04
6457,4012,2,Apartment,1/03/2020,1/03/2020,1/04/2020,Community Housing,CHERMSIDE HSC,7,7,14,Brisbane,Nudgee,2020,2020-04
6458,4059,2,Apartment,1/05/2020,1/05/2020,1/05/2020,Community Housing,FORTITUDE VALLEY HSC,0,24,24,Brisbane,Cooper,2020,2020-05
6459,4873,2,Attached Housing,1/08/2019,1/08/2019,1/09/2019,Community Housing,CAIRNS HSC,0,28,28,Douglas,Cook,2019,2019-09
6461,4873,2,Apartment,1/06/2020,1/06/2020,1/06/2020,Community Housing,CAIRNS HSC,0,21,21,Douglas,Cook,2020,2020-06
6462,4870,2,Apartment,1/11/2019,1/11/2019,1/12/2019,Community Housing,CAIRNS HSC,7,18,25,Cairns,Cairns,2019,2019-12
